id	lieu	nom_courant	taxon	cultivar	date_plantation	provenance	annee_source	issu_de	rang	statut	nom_photo
	#Buisson_Cerzat	Poireau perpétuel	Allium ampeloprasum var. porrum		2026-08-08	pépinière Un Peu d'Air	2025		30	en place	Poireau_perpetuel
1	Buisson_Cerzat	Ail éléphant 				Armand	2026				Ail_elephant
2	Buisson_Cerzat	Bourrache				La Closerie D’Olt	2026			en place	Bourrache
3	Buisson_Cerzat	Brocoli vivace				La Closerie D’Olt	2026			en place	Brocoli_vivace
4	Buisson_Cerzat	Capucine tubereuse				Bene Bonno	2026				Capucine_tubereuse
5	Buisson_Cerzat	Chayote				Bene Bonno	2026			en place	Chayote
6	Buisson_Cerzat	Chou Daubenton				Saint-André-de-Valborgne	2023			en place	Chou_Daubenton
7	Jardin_Cyril_Chilhac	Chou Daubenton				Saint-André-de-Valborgne	2023			en place	Chou_Daubenton
8	Buisson_Cerzat	Consoude B14				Escuroux	2025			en place	Consoude_B14
9	Buisson_Cerzat	Consoude naine				Escuroux	2025			en place	Consoude_naine
10	Buisson_Cerzat	Crosnes du Japon				Armand	2026			en place	Crosne_du_Japon
11	Buisson_Cerzat	Egopode				Escuroux	2025			en place	Egopode
12	Buisson_Cerzat	Fraisier_X				Non défini				en place	Fraisier_X
13	Buisson_Cerzat	Fraisier_X2				Non défini				en place	Fraisier_X2
14	Jardin_Cyril_Chilhac	Framboisier classique				Haute-Loire	2020			en place	Framboisier_classique
15	Jardin_Cyril_Chilhac	Framboisier jaune				Pas-de-Calais	2024			en place	Framboisier_jaune
16	Terrasse_Cyril_Chilhac	Groseillier 				Armand	2026			en place	Groseiller
17	Jardin_Cyril_Chilhac	Groseillier à maquereau 				Dunkerque	2024			en place	Groseiller_a_maquereau
18	Buisson_Cerzat	Helianthi				Le Jardin d'Emerveille	2025			en place	Helianthi
19	Buisson_Cerzat	Hémérocalle 				Armand	2026			en place	Hemerocalle
20	Buisson_Cerzat	Hysope				La Closerie D’Olt	2026			en place	
21	Buisson_Cerzat	Menthe_X				Non défini				en place	Menthe_X
22	Terrasse_Cyril_Chilhac	Menthe_X				Non défini				en place	Menthe_X_&_Chayote
23	Terrasse_Cyril_Chilhac	Chayote				Non défini				en place	Menthe_X_&_Chayote
24	Buisson_Cerzat	Menthe bergamote				Escuroux	2025			en place	Menthe_bergamote
25	Buisson_Cerzat	Miscanthus				La Closerie D’Olt	2025			en place	Miscanthus
26	Buisson_Cerzat	Oignon rocambole				Escuroux	2025			en place	Oignon_rocambole
27	Jardin_Cyril_Chilhac	Oignon rocambole				Escuroux	2025			en place	
28	Buisson_Cerzat	Paulownia				Escuroux	2025			en place	Paulownia
29	Terrasse_Cyril_Chilhac	Persil japonais				La Closerie D’Olt	2025			en place	Persil_japonais
30	Buisson_Cerzat	Poireau perpetuel				Escuroux	2025			en place	Poireau_perpetuel
31	Buisson_Cerzat	Poireau perpetuel				Escuroux	2025	32		en place	Poireau_perpetuel
32	Jardin_Cyril_Chilhac	Poireau perpetuel				Escuroux	2025			en place	Poireau_perpetuel
33	Buisson_Cerzat	Roquette sauvage				La Closerie D’Olt	2026			en place	Roquette_sauvage
34	Terrasse_Cyril_Chilhac	Roquette sauvage				La Closerie D’Olt	2026			en place	Roquette_sauvage
35	Buisson_Cerzat	Sarrasin vivace				Escuroux	2025			en place	Sarrasin_vivace
36	Buisson_Cerzat	Tomates				Camille Buisson	2026			en place	Tomates
37	Buisson_Cerzat	Yacon				Le Jardin d'Emerveille	2025			en place	Yacon
38	Buisson_Cerzat	Miscanthus				La Closerie D’Olt	2026			en place	Miscanthus
